-------------------------------------------------------
Greedy experiments over ScaleFree
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
81, 635.537495359498, 91.1250000000003
82, 634.5511078996043, 92.24999999999987
83, 632.0815119454347, 93.3749999999989
84, 641.4907943271535, 94.49999999999959
85, 633.0468687472313, 95.62499999999986
86, 624.8826224780496, 96.74999999999922
87, 627.4935344108274, 97.87499999999905
88, 628.286580498351, 98.99999999999957
89, 630.1069658819788, 100.12499999999974
90, 624.3440452500487, 101.25000000000034
91, 637.8520960534213, 102.37499999999868
92, 633.3786054252469, 103.49999999999947
93, 630.2964634872375, 104.62499999999989
94, 634.3402928618679, 105.74999999999962
95, 641.8544701561666, 106.87499999999991
96, 638.4774270849841, 107.99999999999977
97, 634.7368772719982, 109.12499999999957
98, 629.2123158186262, 110.24999999999902
99, 630.5390688822748, 111.375
100, 633.3634886225756, 112.50000000000026
101, 638.6428809054183, 113.62499999999962
--- Parameters: [0.33, 0.33, 0.33] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 643.5525797988723, 1.124999999999985
2, 690.6453970797136, 2.24999999999997
3, 739.6654647976081, 3.374999999999993
4, 745.4595005167563, 4.49999999999994
5, 756.5662468666693, 5.624999999999949
6, 765.8705428897332, 6.749999999999986
7, 763.5863028781955, 7.874999999999969
8, 767.8370734715774, 8.99999999999988
9, 765.3356520526052, 10.124999999999904
10, 771.2622154131061, 11.249999999999899
11, 769.3883179563829, 12.374999999999947
12, 777.3425531367755, 13.499999999999972
13, 775.0746425031307, 14.624999999999904
14, 774.6150909670957, 15.749999999999938
15, 769.3188338773655, 16.87500000000004
16, 770.6690787386016, 17.99999999999976
17, 763.7162656527278, 19.124999999999766
18, 765.1725152889289, 20.249999999999808
19, 768.0444487157891, 21.374999999999787
20, 764.4403222597703, 22.499999999999797
21, 769.9987638479122, 23.624999999999897
22, 765.5619487399788, 24.749999999999893
23, 757.822278104568, 25.87499999999987
24, 759.2011926017631, 26.999999999999943
25, 756.794547645924, 28.125000000000064
26, 762.5712102506284, 29.249999999999808
27, 757.6279660135955, 30.375000000000057
28, 755.1995767765201, 31.499999999999876
29, 747.4005854553677, 32.62499999999967
30, 750.495278142046, 33.75000000000008
31, 747.4597762109536, 34.874999999999766
32, 750.7397907804043, 35.99999999999952
33, 750.4316281845582, 37.12499999999987
34, 747.2764894278395, 38.24999999999953
35, 748.6681208072971, 39.37500000000017
36, 744.6232886542073, 40.499999999999616
37, 745.3680538916867, 41.62499999999991
38, 741.9623012641364, 42.749999999999574
39, 743.5669323911014, 43.87499999999931
40, 745.7306644081712, 44.999999999999595
41, 740.6394895597484, 46.124999999999936
42, 740.4438961837133, 47.249999999999794
43, 742.303151583649, 48.37499999999961
44, 743.7934910927395, 49.49999999999979
45, 736.20548137056, 50.62500000000017
46, 739.801610441965, 51.74999999999974
47, 732.6139926048395, 52.87499999999981
48, 736.411485129357, 53.999999999999886
49, 734.9114437647901, 55.12499999999951
50, 737.6636286937166, 56.25000000000013
51, 733.2142618749683, 57.374999999999986
52, 731.8696007881657, 58.499999999999616
53, 729.6225039811353, 59.624999999999396
54, 728.1317068826918, 60.750000000000114
55, 730.9162000017706, 61.874999999999865
56, 732.6066571905587, 62.99999999999975
57, 727.2494759787267, 64.1249999999995
58, 725.8731608938675, 65.24999999999935
59, 726.7853561824284, 66.37500000000018
60, 725.4044034458628, 67.50000000000016
61, 722.8854384219444, 68.62499999999916
62, 723.0408074451685, 69.74999999999953
63, 714.259396592585, 70.87500000000026
64, 721.2622123539533, 71.99999999999903
65, 714.3576076779018, 73.12499999999986
66, 722.5576788789763, 74.24999999999974
67, 718.5406718080313, 75.37499999999893
68, 717.747623410085, 76.49999999999906
69, 714.1371332690821, 77.62499999999936
70, 716.6370087951223, 78.75000000000034
71, 718.6940371532368, 79.87499999999946
72, 716.3458851135846, 80.99999999999923
73, 714.3663991103128, 82.12499999999908
74, 707.3211879472053, 83.24999999999982
75, 711.8694757368496, 84.3749999999995
76, 711.3296326878901, 85.49999999999915
77, 708.9737681526375, 86.6250000000002
78, 713.8427985046435, 87.74999999999862
79, 710.8671760784157, 88.87499999999935
80, 711.4621654574106, 89.99999999999919
81, 708.7604039325727, 91.1250000000003
82, 707.0924726330911, 92.24999999999987
83, 708.076299251173, 93.3749999999989
84, 708.260968476589, 94.49999999999959
85, 712.4722205739796, 95.62499999999986
86, 708.9275122575583, 96.74999999999922
87, 705.2457478599766, 97.87499999999905
88, 708.3324296820773, 98.99999999999957
89, 710.0879793252304, 100.12499999999974
90, 707.4176633638588, 101.25000000000034
91, 705.5834027695598, 102.37499999999868
92, 700.0035967382007, 103.49999999999947
93, 700.4597100591279, 104.62499999999989
94, 704.4329220556292, 105.74999999999962
95, 702.0954473682924, 106.87499999999991
96, 701.7122682344291, 107.99999999999977
97, 701.7498799364, 109.12499999999957
98, 701.050162929909, 110.24999999999902
99, 694.1620880795567, 111.375
100, 698.6735717599327, 112.50000000000026
101, 699.9679492581714, 113.62499999999962

